,댓글,작성자,작성시간
0,그래,옆동네잼민팝캣,0:03
1,이런거 해줘야징,옆동네잼민팝캣,0:10
2,또잉,ꪑ,0:12
3,상수야 심상정 지지 하지마라 개쉐이야,22duf,0:14
4,테이저건 설명회임?,ㅅㅂㅊ,0:15
5,ㅎㅇ,진오라 팬♡,0:16
6,안녕하세요,임드텔,0:17
7,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,이이이ㅣ잉,0:18
8,마,수호신,0:19
9,ㅂㅅ,William.L,0:19
10,형님,곰돌우니,0:19
11,?,하이섬,0:19
12,?,노란꼬치,0:19
13,상수야,노친네힘 국민의암,0:19
14,상수야,김성수,0:19
15,ㅋㅋㅋ,지죤킹왕짱엠퍼러zx,0:19
16,와,조현해Jo Hyun Hae,0:19
17,하잇,이주현,0:19
18,상수야 안ㄴ녕,자 지왕,0:19
19,ㅋㅋㅋㅋㅋ,FIRE게이밍,0:20
20,안녕하세염,김춘팔,0:20
21,꺼라,정인서,0:20
22,ㅎㅇ,옵치 고수,0:20
23,와 ㅋㅋ,누구세요?,0:20
24,ㅣ,이현빈,0:20
25,ㅋㅋㅋ,쿠콸,0:20
26,5등,김태호,0:20
27,왔니 상수야,불놀이가날거다가안날거같다가나다가난단다,0:20
28,정하,tank J,0:21
29,형님 하이요,정정정 박박박,0:21
30,안녕,pren,0:21
31,ㅋㅋㅋㅋㅋㅋㅋ,김준형,0:21
32,방송 꺼라 상수야,김서준,0:21
33,제목 ㅋㅋㅋㅋㅋ,Machest 2,0:21
34,힝,장우주,0:21
35,방송꺼라,광주좌파페미니스트캣맘촉법소녀,0:21
36,오하요오니쟝,카드값줘체리,0:21
37,?,박지훈,0:21
38,좋네 ㅋㅋ,정우준,0:21
39,ㅎㅇ,아라래가,0:22
40,형ㄴ님,소윤,0:22
41,Zzzzzzㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌ,김와사비,0:22
42,정하,빙구 ㅈㅎㅈ,0:22
43,형,아아아아아,0:22
44,형,ㅋㅋㄹㅃㅃ 나 잼민이,0:22
45,ㅋㄱㅋㄱㅋㄱㅋㄱ주제보소,김지훈,0:22
46,꺼져,공주,0:22
47,세발,쿠콸,0:22
48,ㅎㅇ,김성준,0:22
49,방송꺼,개빡친상수형,0:22
50,ㅎㅇ,jin naru,0:22
51,ㅋㅋㅋㅋㅋㅋㅋㅋㄱㄲ,이재원,0:22
52,방송꺼라,노트라맨,0:22
53,바보야,정지환,0:23
54,제목 못참지,감성충,0:23
55,할루,ㅇㅅ,0:23
56,반가워요,산타,0:23
57,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,이준혁,0:23
58,제목 좋다,어..? 너두? 야나두,0:23
59,ㅋㅋㅋㅋ 니가 못생겨서,아케너스,0:23
60,방송꺼라,김성수,0:24
61,방송 꺼라 상수아,ᄋᄋ,0:24
62,테이저건ㅋㅋㅋㅋㅋㅋ,이기철,0:24
63,나는 정상수,부산픽도,0:24
64,안뇽하세요,킹진우,0:24
65,오빠,뵤,0:24
66,ㅎㅇ,디지니?,0:24
67,알려줘,아아아아아,0:25
68,방송 꺼라,정숭이,0:25
69,그래,익,0:25
70,섹스,ㅇ,0:25
71,상수야 반갑다,죠랄원탑사,0:25
72,안녕하쇼,에ᅦᅦᅦ,0:25
73,못참지,Bbbb E,0:25
74,ㅋㅋㅋㅋㅋㅋ,앞날창창 SMJ(민제),0:25
75,상수님 게이인가요?,정상수 게이밍,0:25
76,썰푸러주십셔ㅠ행님,똥개,0:25
77,ㅋㅋㅋㅋㅋㅋㅋㅋ,텬프,0:25
78,정하,민이,0:25
79,오 제목잘짔노,김꽤꽥,0:26
80,ㅎㅇㅎㅇ,고니,0:26
81,존나 웃기네,쿠콸,0:26
82,그러게,스트콜,0:26
83,인사박아봐라,HY WORKOUT,0:26
84,형님,포졸,0:26
85,마스크 끼고다녀라,욤댕이,0:26
86,상수님 안녕하세요~~~,이연준,0:26
87,췍디사운나 정상구,풍호,0:26
88,제목 도랐나여,헤으응배찌,0:26
89,방송꺼라,정인서,0:26
90,이거이거 지리네,장도영,0:26
91,야 씨발아 반갑다,ᄋᄋ,0:26
92,안녕,아잉버거,0:26
93,형 정민이 생일인데 생일축하한다고 해주세요!,정만,0:27
94,상수야,왕Zr,0:27
95,상수야 처맞고싶냐 ,b a,0:27
96,상수야 안녕,양정익,0:27
97,안녕하세요,누노노,0:27
98,섹스!,존잘,0:27
99,상수야,월월,0:27
100,나,김민성,0:27
101,형님 안녕하십니까,이윤택,0:27
102,끄지라,Knjhgg,0:28
103,상수야 심상정 시이발,22duf,0:28
104,니가 바보라서,pren,0:28
105,ㅋㅋ,이우영tv,0:28
106,상수ㅎㅇ,이재원,0:28
107,방송켜라,wtf,0:29
108,깝쳐서 맞았겠죠,Iklr1126,0:29
109,락,김민성,0:29
110,ㅅㅂㅋㅋㅋㅋㅋㅋ 왜 반성하냐 갑자기,크리스티아누호날두,0:29
111,깝치니까 맞지 새키야,김닭,0:29
112,ㅋㅋㅋㅋㅋㅋㅋ,전과12범,0:29
113,ㅋㅋㅋㅋㅋㅋㅋㅋ,조성현,0:30
114,웬만한건걍 내비구레,우진정,0:30
115,이새기 제목 보니까 돈 벌줄 아네,수맹,0:30
116,ㅋㅋㄲㅋㅋ,광주좌파페미니스트캣맘촉법소녀,0:30
117,상수형,포졸,0:30
